Name,BR CPI NADJ,BR CHANGE IN CPI (%YOY) NADJ,BR US $ TO NATIONAL CURRENCY UNIT - EXCHANGE RATE (AVG),BR MONEY MARKET RATE ( FEDERAL FUNDS ),CH CHANGE IN CPI (%YOY) NADJ,CH NATIONAL CURRENCY UNIT TO US $ - EXCHANGE RATE (AVG),CH REAL EFFECTIVE EXCHANGE RATE INDEX - CPI BASED SADJ,CH DISCOUNT RATE (EP),FR CPI NADJ,FR CHANGE IN CPI (%YOY) NADJ,FR US $ TO 1 EURO (FRENCH FRANC DERIVED HISTORY PRIOR 1999),FR REAL EFFECTIVE EXCHANGE RATE INDEX - CPI BASED SADJ,FR TREASURY BILL RATE,US CPI NADJ,US CHANGE IN CPI (%YOY) NADJ,US REAL EFFECTIVE EXCHANGE RATE INDEX - CPI BASED SADJ,US MONEY MARKET RATE ( FEDERAL FUNDS ),MX CPI (BASE 2002) NADJ,MX CPI: ANNUAL INFLATION RATE,MX MEXICAN PESOS TO US $-CENTRAL BANK SETTLEMENT RATE (AVG),MX EXCHANGE RATE REAL INDEX NADJ,"MX INTERNATIONAL RESERVES (US$, EP) CURN",#ERROR,#ERROR,JP NATIONAL CURRENCY UNIT TO US $ - MARKET RATE (AVG),JP MONEY MARKET RATE (OVERNIGHT LOANS)
Code,BRI64.A.F,BRI64..XF,BRI..AH.,BRI60B..,CHI64..XF,CHI..AF.,CHI..RECE,CHI60...,FRI64...F,FRI64..XF,FRXRUSE.,FRI..RECE,FRI60C..,USI64...F,USI64..XF,USI..RECE,USI60B..,MXCONPRCF,MXCPANNL,MXXRUSD.,MXXTW..RF,MXRESWUDA,,,JPI..RF.,JPI60B..
12/15/2001,11078900000,7.67,0,19.05,-0.3,8.277,105.21,3.24,102.1,1.36,0.8924,99.67,3.26,102.6,1.55,106.66,1.82,97.354,4.4,9.1672,59.8229,40879870,,,127.36,0.002
1/15/2002,11136500000,7.62,0,19.05,-1,8.277,106.01,3.24,102.5,2.24,0.8833,100,3.32,102.8,1.14,107.37,1.73,98.253,4.79,9.1614,58.6997,41709620,,,132.66,0.011
2/15/2002,11176300000,7.51,0,18.97,0,8.277,106.98,2.7,102.6,2.04,0.87,99.37,3.35,103.3,1.14,108.19,1.74,98.19,4.79,9.1062,58.0176,42128560,,,133.52,0.01
3/15/2002,11243400000,7.75,0,18.72,-0.8,8.277,105.49,2.7,103.1,2.13,0.8758,99.44,3.38,103.8,1.48,107.67,1.73,98.692,4.66,9.0809,55.5805,42228640,,,131.2,0.02
4/15/2002,11333500000,7.98,0,18.38,-1.3,8.277,104.67,2.7,103.5,2.03,0.8858,99.76,3.4,104.4,1.64,107.42,1.75,99.231,4.7,9.1317,56.1236,41378750,,,131.07,0.015
5/15/2002,11357600000,7.77,0,18.37,-1.1,8.277,102.67,2.7,103.6,1.44,0.917,100.67,3.46,104.4,1.18,105.58,1.75,99.432,4.68,9.4899,59.3344,41594080,,,126.48,0.014
6/15/2002,11405300000,7.66,0,18.1,-0.8,8.277,101.09,2.7,103.6,1.44,0.9554,101.61,3.47,104.5,1.07,104.15,1.75,99.917,4.94,9.7378,61.6747,42722880,,,123.6,0.014
7/15/2002,11541000000,7.52,0,18.17,-0.9,8.277,98.75,2.7,103.6,1.63,0.9922,102.39,3.4,104.6,1.46,102.46,1.73,100.204,5.51,9.7978,63.2307,43739840,,,118.07,0.017
8/15/2002,11615900000,7.46,0,17.84,-0.7,8.277,99.29,2.7,103.8,1.82,0.9778,102.09,3.35,104.9,1.8,103.72,1.74,100.585,5.29,9.8258,62.876,44273020,,,119.01,0.019
9/15/2002,11699200000,7.93,0,17.89,-0.7,8.277,99.54,2.7,104,1.82,0.9808,102.08,3.27,105.1,1.51,104.34,1.75,101.19,4.95,10.0425,63.9932,45107580,,,120.37,0.005
10/15/2002,11852800000,8.45,0,19.59,-0.8,8.277,100.41,2.7,104.2,1.91,0.9811,102.18,3.17,105.3,2.03,105.39,1.75,101.636,4.94,10.0961,63.8233,45233970,,,123.86,0.002
11/15/2002,12210600000,10.93,0,21.25,-0.7,8.277,99.21,2.7,104.2,2.21,1.0014,102.44,3.07,105.3,2.2,104.59,1.34,102.458,5.39,10.2032,64.5143,45238500,,,122.55,0.002
12/15/2002,12466900000,12.53,0,23.03,-0.4,8.277,98.63,2.7,104.4,2.3,1.0183,103.21,2.87,105.1,2.38,103.92,1.24,102.904,5.7,10.1982,64.9344,47984020,,,122.27,0.002
1/15/2003,12747700000,14.47,0,25.06,0.4,8.277,97.1,2.7,104.6,2,1.0622,104.47,2.79,105.5,2.6,102.16,1.24,103.32,5.16,10.5762,68.6853,49440130,,,118.65,0.002
2/15/2003,12947900000,15.85,0,25.68,0.2,8.277,97.09,2.7,105.3,2.57,1.0773,105.24,2.64,106.3,2.98,102.43,1.26,103.607,5.52,10.9216,71.361,50315310,,,119.27,0.001
3/15/2003,13107200000,16.58,0,26.32,0.9,8.277,96.98,2.7,105.8,2.56,1.0807,105.55,2.48,107,3.02,102.12,1.25,104.261,5.64,10.9427,71.3156,51988400,,,118.54,0.002
4/15/2003,13234000000,16.77,0,26.32,1,8.277,97.12,2.7,105.6,1.98,1.0848,105.65,2.48,106.7,2.22,101.11,1.26,104.439,5.25,10.6324,69.3138,53731470,,,119.79,0.001
5/15/2003,13314600000,17.23,0,26.31,0.7,8.277,94.79,2.7,105.5,1.79,1.1582,107.49,2.34,106.6,2.06,97.2,1.26,104.102,4.7,10.2506,68.9733,53571340,,,117.26,0.001
6/15/2003,13294700000,16.57,0,26.09,0.3,8.277,94.42,2.7,105.7,1.98,1.1663,107.74,2.1,106.7,2.11,96.92,1.22,104.188,4.27,10.4953,70.8403,53397060,,,118.26,0.001
7/15/2003,13321500000,15.43,0,25.36,0.5,8.277,94.94,2.7,105.6,1.89,1.1372,107.13,2.07,106.8,2.11,98.05,1.01,104.339,4.13,10.4434,69.7091,51755550,,,118.69,0.002
8/15/2003,13366500000,15.07,0,23.5,0.9,8.277,95.61,2.7,105.8,1.89,1.1139,106.46,2.08,107.2,2.16,99.48,1.03,104.652,4.04,10.7327,70.9913,51486910,,,118.83,0.001
9/15/2003,13470800000,15.14,0,21.02,1.1,8.277,94.64,2.7,106.2,2.07,1.1222,106.51,2.09,107.5,2.32,98.41,1.01,105.275,4.04,10.9255,72.684,52117470,,,115.19,0.002
10/15/2003,13510100000,13.98,0,19.54,1.8,8.277,93.12,2.7,106.5,2.16,1.1692,107.43,2.07,107.4,2.04,96.08,1.01,105.661,3.96,11.1704,75.9251,53645630,,,109.58,0.001
11/15/2003,13556200000,11.02,0,18.31,3,8.277,93.94,2.7,106.6,2.25,1.1702,107.49,2.09,107.1,1.77,95.7,1,106.538,3.98,11.1145,74.9552,55395870,,,109.2,0.001
12/15/2003,13626400000,9.3,0,16.91,3.2,8.277,92.81,2.7,106.7,2.16,1.2286,108.91,2.08,107,1.88,94.48,0.98,106.996,3.98,11.2629,77.2751,57434860,,,107.94,0.001
1/15/2004,13730200000,7.71,0,16.32,3.2,8.277,91.93,2.7,106.7,1.96,1.2613,109.35,2.04,107.5,1.93,92.8,1,107.661,4.2,10.9308,75.683,58742460,,,106.51,0
2/15/2004,13814000000,6.69,0,16.3,2.1,8.277,90.65,2.7,107.1,1.77,1.2646,109.42,2.02,108.1,1.69,93.17,1.01,108.305,4.53,11.0128,76.0989,59151330,,,106.55,0.001
3/15/2004,13879000000,5.89,0,16.19,3,8.277,92.51,2.7,107.5,1.67,1.2262,108.29,1.98,108.8,1.74,94.37,1,108.672,4.23,10.9984,75.0281,59049300,,,108.62,0.001
4/15/2004,13930300000,5.26,0,15.96,3.8,8.277,93.21,2.7,107.8,2.13,1.1985,107.5,2,109.2,2.29,95.06,1.01,108.836,4.21,11.2535,76.5068,58393710,,,107.25,0
5/15/2004,14001000000,5.16,0,15.77,4.4,8.277,94.79,2.7,108.2,2.6,1.2007,107.91,2.04,109.8,3.05,97.16,1,108.563,4.29,11.5119,77.9145,58787810,,,112.52,0.001
6/15/2004,14100600000,6.06,0,15.8,5,8.277,93.91,2.7,108.2,2.41,1.2138,107.73,2.03,110.2,3.27,96.02,1.03,108.737,4.37,11.379,77.8498,59128000,,,109.47,0.001
7/15/2004,14229000000,6.81,0,15.77,5.3,8.277,93.79,2.7,108,2.32,1.2266,108.05,2.02,110,2.99,95.18,1.27,109.022,4.49,11.4735,78.6479,57827150,,,109.36,0
8/15/2004,14327000000,7.19,0,15.86,5.3,8.277,94.43,2.7,108.3,2.41,1.2176,107.94,2.01,110,2.65,95.11,1.43,109.695,4.82,11.3957,77.4062,58247790,,,110.35,0.001
9/15/2004,14374100000,6.71,0,16.09,5.2,8.277,94.34,2.7,108.4,2.12,1.2218,108.15,2.02,110.3,2.54,94.82,1.62,110.602,5.06,11.4858,77.6508,57614880,,,110.01,0.001
10/15/2004,14437500000,6.86,0,16.41,4.3,8.277,92.99,3.33,108.7,2.11,1.249,108.6,2.03,110.9,3.19,93.62,1.75,111.368,5.4,11.3864,77.5954,58137280,,,108.92,0.001
11/15/2004,14537100000,7.24,0,16.96,2.8,8.276,90.91,3.33,108.7,2.02,1.2991,107.71,2.06,110.9,3.52,92.03,1.93,112.318,5.43,11.3938,78.8239,60399410,,,104.9,0.001
12/15/2004,14662300000,7.6,0,17.5,2.4,8.276,89,3.33,108.9,2.11,1.3408,110.3,2.04,110.5,3.26,90.13,2.16,112.55,5.19,11.21,78.4603,61496300,,,103.84,0.001
1/15/2005,14747200000,7.41,0,17.93,1.9,8.276,89.21,3.33,108.3,1.56,1.3119,109.79,2.04,110.7,2.97,90.65,2.29,112.554,4.54,11.2556,78.5181,61761570,,,103.94,0.001
2/15/2005,14834200000,7.39,0,18.47,3.9,8.276,90.02,3.33,108.9,1.64,1.3014,109.21,2.04,111.4,3.01,90.99,2.5,112.929,4.27,11.1502,77.3234,62138060,,,104.88,0.001
3/15/2005,14924800000,7.54,0,18.97,2.7,8.276,89.28,3.33,109.6,1.91,1.3201,109.69,2.04,112.3,3.15,90.54,2.63,113.438,4.39,11.1326,77.641,61738580,,,105.31,0.002
4/15/2005,15054800000,8.07,0,19.32,1.8,8.276,90.04,3.33,109.8,1.81,1.2938,109.05,2.03,113,3.51,91.74,2.78,113.842,4.6,11.1262,76.8668,60714620,,,107.36,0.001
5/15/2005,15128600000,8.05,0,19.61,1.8,8.276,90.47,3.33,109.9,1.54,1.2694,108.4,2.02,112.9,2.8,91.86,3,113.556,4.6,10.992,75.5871,60536050,,,106.91,0.001
6/15/2005,15125500000,7.27,0,19.75,1.6,8.276,91.69,3.33,110.1,1.72,1.2165,107.2,2.01,112.9,2.53,92.75,3.04,113.447,4.33,10.834,73.287,61773760,,,108.63,0.001
7/15/2005,15163200000,6.57,0,19.72,1.8,8.23,94.89,3.33,109.9,1.72,1.2037,107.23,2.01,113.5,3.17,93.52,3.25,113.891,4.47,10.6931,71.4917,59330580,,,111.93,0.001
8/15/2005,15188900000,6.02,0,19.75,1.3,8.102,93.7,3.33,110.3,1.81,1.2292,107.62,2.02,114.1,3.64,92.8,3.49,114.027,3.95,10.6703,72.2631,60880380,,,110.72,0.001
9/15/2005,15242300000,6.04,0,19.61,0.9,8.092,93.51,3.33,110.8,2.17,1.2256,107.39,2.02,115.4,4.69,93.45,3.64,114.484,3.51,10.7791,73.126,62836110,,,111.06,0.001
10/15/2005,15356600000,6.37,0,19.25,1.2,8.089,95.02,3.33,110.7,1.8,1.2015,106.73,2.07,115.7,4.35,94.89,3.76,114.765,3.05,10.8312,72.3885,65145020,,,114.82,0.001
11/15/2005,15440900000,6.22,0,18.87,1.3,8.084,96.17,3.33,110.5,1.62,1.1786,106.43,2.24,114.8,3.46,95.34,4,115.591,2.91,10.6903,69.838,66997820,,,118.41,0.001
12/15/2005,15496500000,5.69,0,18.24,1.6,8.076,95.96,3.33,110.6,1.53,1.1856,106.47,2.32,114.3,3.42,94.61,4.16,116.301,3.33,10.6201,69.1914,68668930,,,118.64,0.001
1/15/2006,15587600000,5.7,0,17.65,1.9,8.066,94.41,3.33,110.5,2.02,1.2103,106.9,2.39,115.2,3.99,93.45,4.29,116.983,3.93,10.5679,69.6295,67305300,,,115.45,0.001
2/15/2006,15651600000,5.51,0,17.28,0.9,8.049,95.12,3.33,110.9,1.85,1.1938,106.72,2.44,115.4,3.6,93.76,4.49,117.162,3.75,10.4813,68.5652,67329260,,,117.89,0.001
3/15/2006,15719200000,5.32,0,16.74,0.8,8.035,94.84,3.33,111.2,1.51,1.202,106.92,2.53,116,3.36,93.98,4.59,117.309,3.41,10.7061,70.3465,67487120,,,117.31,0.002
4/15/2006,15752200000,4.63,0,16.19,1.2,8.016,94.51,3.33,111.7,1.75,1.2271,107.43,2.58,117,3.55,93.52,4.77,117.481,3.2,11.0206,73.3813,70611470,,,117.1,0.002
5/15/2006,15767900000,4.23,0,15.7,1.4,8.014,92.31,3.33,112.2,2.1,1.277,108,2.68,117.6,4.17,91.24,4.93,116.958,3,11.0758,76.1544,75618530,,,111.61,0.02
6/15/2006,15734900000,4.03,0,15.18,1.5,8.007,93.38,3.33,112.2,1.91,1.265,107.79,2.79,117.8,4.32,92.57,5,117.059,3.18,11.3864,77.6062,78742740,,,114.53,0.036
7/15/2006,15764700000,3.97,0,14.98,1,7.991,93.37,3.33,112,1.92,1.2684,107.96,2.9,118.2,4.15,92.58,5.25,117.38,3.06,11.0268,74.9653,77623710,,,115.67,0.155
8/15/2006,15772600000,3.84,0,14.66,1.3,7.973,93.37,3.33,112.4,1.91,1.2811,108.06,3.05,118.4,3.82,92.13,5.25,117.979,3.47,10.8739,74.1533,65865760,,,115.88,0.25
9/15/2006,15805600000,3.7,0,14.17,1.5,7.936,94.54,3.33,112.1,1.23,1.2727,107.78,3.15,117.8,2.06,91.95,5.25,119.17,4.09,10.9722,73.7122,67302590,,,117.01,0.261
10/15/2006,15858000000,3.27,0,13.95,1.4,7.903,95.86,3.33,111.9,1.1,1.2611,107.25,3.27,117.2,1.31,92.05,5.25,119.691,4.29,10.9201,72.5483,68764980,,,118.66,0.254
11/15/2006,15906700000,3.02,0,13.65,1.9,7.866,95.56,3.33,112,1.39,1.2881,107.84,3.4,117,1.97,91.26,5.25,120.319,4.09,10.8948,72.7862,69542180,,,117.35,0.257
12/15/2006,15983200000,3.14,0,13.19,2.8,7.824,95.83,3.33,112.3,1.53,1.3213,108.38,3.49,117.2,2.54,90.73,5.24,121.015,4.05,10.865,73.1691,67679650,,,117.13,0.255
1/15/2007,16054500000,3,0,13.13,2.2,7.79,97.02,3.33,111.9,1.24,1.2999,107.88,3.58,117.5,2.08,91.95,5.25,121.64,3.98,10.9344,72.5777,67807300,,,120.58,0.267
2/15/2007,16125200000,3.03,0,12.93,2.7,7.755,97.51,3.33,112.1,1.05,1.3074,107.92,3.67,118.2,2.42,91.9,5.26,121.98,4.11,10.988,73.1665,68976130,,,120.45,0.357
3/15/2007,16185000000,2.96,0,12.74,3.3,7.739,97.04,3.33,112.6,1.19,1.3242,108.14,3.75,119.3,2.78,91.52,5.26,122.244,4.21,11.125,74.9003,69195540,,,117.28,0.509
4/15/2007,16224800000,3,0,12.58,3,7.726,96.81,3.33,113.1,1.26,1.3516,108.8,3.83,120,2.57,90.44,5.25,122.171,3.99,10.9924,75.091,69504510,,,118.87,0.511
5/15/2007,16269800000,3.18,1,12.43,3.4,7.673,98.21,3.33,113.4,1.08,1.3511,108.77,3.93,120.8,2.69,89.99,5.25,121.575,3.95,10.8301,74.5931,69509460,,,120.73,0.521
6/15/2007,16314900000,3.69,1,12.03,4.4,7.633,99.85,3.33,113.5,1.2,1.3419,108.49,4,121,2.69,89.79,5.25,121.721,3.98,10.8338,74.3998,69939420,,,122.62,0.51
7/15/2007,16353700000,3.74,1,11.73,5.6,7.58,100.44,3.33,113.2,1.08,1.3716,108.87,4.05,121,2.36,88.5,5.26,122.238,4.14,10.7963,74.7405,71135020,,,121.59,0.499
8/15/2007,16430200000,4.17,1,11.43,6.5,7.575,101.02,3.33,113.7,1.18,1.3622,108.71,4.01,120.7,1.97,88.71,5.02,122.736,4.03,11.0363,76.3756,71060420,,,116.72,0.485
9/15/2007,16459000000,4.13,1,11.22,6.2,7.524,100.62,3.33,113.8,1.52,1.3896,109.19,3.91,121.1,2.76,87.39,4.94,123.689,3.79,11.045,76.7748,73224050,,,115.01,0.51
10/15/2007,16508300000,4.1,1,11.18,6.5,7.501,99.98,3.33,114.1,1.99,1.4227,109.56,3.88,121.3,3.54,85.61,4.76,124.171,3.74,10.8418,76.1466,75538430,,,115.74,0.506
11/15/2007,16571100000,4.18,1,11.18,6.9,7.423,99.62,3.33,114.7,2.44,1.4684,110.5,3.93,122.1,4.31,84.64,4.49,125.047,3.93,10.8658,77.5088,77402480,,,111.21,0.5
12/15/2007,16693200000,4.44,1,11.18,6.5,7.372,101.21,3.33,115.2,2.59,1.457,110.75,3.83,122,4.08,85.65,4.24,125.564,3.76,10.8494,76.7991,77990750,,,112.24,0.497
1/15/2008,16782800000,4.54,1,11.18,7.1,7.248,102.15,4.14,115,2.82,1.4718,110.61,3.9,122.6,4.28,85.28,3.94,126.146,3.7,10.9171,77.8663,79976320,,,107.66,0.502
2/15/2008,16865100000,4.59,1,11.18,8.7,7.165,104.26,4.14,115.3,2.85,1.4748,110.81,3.86,122.9,4.03,84.16,2.98,126.521,3.72,10.7794,77.1012,81391620,,,107.16,0.504
3/15/2008,16945800000,4.7,1,11.18,8.3,7.075,102.66,4.14,116.1,3.18,1.5527,112.24,3.89,124,3.98,82.18,2.61,127.438,4.25,10.7346,78.9263,84041580,,,100.79,0.511
4/15/2008,17039000000,5.02,1,11.37,8.5,7.001,104.22,4.14,116.5,3.03,1.575,113.2,3.91,124.8,3.94,81.97,2.28,127.728,4.55,10.5295,77.7655,84820900,,,102.49,0.506
5/15/2008,17173700000,5.56,1,11.63,7.7,6.974,105.16,4.14,117.2,3.3,1.5557,112.79,3.97,125.8,4.18,82.38,1.98,127.59,4.95,10.4542,76.9856,84635920,,,104.14,0.504
6/15/2008,17300500000,6.04,1,12.09,7.1,6.898,106.4,4.14,117.6,3.57,1.5553,112.73,4.2,127.1,5.02,82.94,2,128.118,5.26,10.3305,75.8607,85670990,,,106.9,0.509
7/15/2008,17392200000,6.35,1,12.36,6.3,6.838,106.59,4.14,117.3,3.65,1.577,112.98,4.29,127.7,5.6,82.5,2.01,128.832,5.39,10.239,75.4626,78206270,,,106.81,0.503
8/15/2008,17440900000,6.15,1,12.92,4.9,6.851,108.23,4.14,117.3,3.17,1.4975,112.61,4.29,127.2,5.37,84.3,2,129.576,5.57,10.0906,72.1331,80687520,,,109.28,0.504
9/15/2008,17486500000,6.24,1,13.39,4.6,6.831,110.67,4.14,117.2,2.98,1.4369,110.36,4.12,127,4.94,86.67,1.81,130.459,5.47,10.5744,73.7688,83312450,,,106.75,0.495
10/15/2008,17565100000,6.4,0,13.66,4,6.832,113.53,4.14,117.2,2.67,1.3322,108.04,2.56,125.8,3.65,92.09,0.97,131.348,5.78,12.4738,83.6358,77135620,,,100.33,0.487
11/15/2008,17628500000,6.38,0,13.64,2.4,6.829,114.73,3.06,116.6,1.63,1.2732,107.7,2.5,123.4,1.07,93.41,0.39,132.841,6.23,13.0609,84.4359,83396140,,,96.68,0.301
12/15/2008,17677800000,5.9,0,13.66,1,6.843,111.79,2.79,116.3,1,1.3449,110.66,1.93,122.1,0.09,91.29,0.16,133.761,6.53,13.3726,#NA,85440980,,,91.32,0.211
1/15/2009,17762600000,5.84,0,13.32,1,6.838,109.82,#NA,115.8,0.71,1.3239,113.87,1.43,122.6,0.03,89.41,0.15,134.071,6.28,13.8492,#NA,83630900,,,90.48,0.12
2/15/2009,17860100000,5.9,0,12.66,#NA,6.836,#NA,#NA,116.3,0.87,1.2785,#NA,1.01,123.2,0.24,#NA,0.22,134.367,6.2,#NA,#NA,80060610,,,92.5,#NA
3/15/2009,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,1.305,#NA,#NA,#NA,#NA,#NA,#NA,135.14,6.04,#NA,#NA,78855970,,,#NA,#NA
4/15/2009,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,,,#NA,#NA
