740628,8.3649,8.2548,8.1056,8.0071,7.9441,7.9014,7.8707,7.8477,7.8298,7.8155
740731,8.4438,8.4615,8.3322,8.2204,8.1406,8.0841,8.0429,8.0117,7.9875,7.9681
740830,9.4143,8.851,8.545,8.3816,8.2832,8.2175,8.1706,8.1353,8.108,8.0861
740930,8.06,8.0585,7.9648,7.9078,7.8729,7.8495,7.8328,7.8203,7.8105,7.8028
741031,7.7208,7.6488,7.6703,7.6849,7.6939,7.7,7.7043,7.7076,7.7101,7.7121
741129,7.4763,7.2804,7.2654,7.2896,7.3222,7.3547,7.3845,7.411,7.4342,7.4545
741231,7.0873,7.0849,7.1242,7.1502,7.1667,7.1779,7.1859,7.1919,7.1966,7.2004
750131,6.1672,6.5882,6.8547,7.0072,7.1009,7.1636,7.2084,7.2421,7.2683,7.2892
750228,5.8655,6.1896,6.5172,6.749,6.9046,7.0124,7.0904,7.1492,7.1948,7.2314
750331,6.1966,6.6435,6.9655,7.1818,7.3259,7.4257,7.4979,7.5524,7.5947,7.6285
750430,6.7397,7.3619,7.6061,7.7296,7.8036,7.8529,7.8881,7.9145,7.9351,7.9515
750530,6.0521,6.7271,7.1054,7.3179,7.4479,7.5349,7.5972,7.644,7.6803,7.7093
750630,6.687,7.1148,7.3141,7.4185,7.4813,7.5232,7.5531,7.5756,7.5931,7.607
750731,7.2153,7.487,7.5811,7.6283,7.6565,7.6753,7.6888,7.6989,7.7067,7.713
750829,7.3615,7.6128,7.7489,7.8296,7.8803,7.9146,7.9391,7.9576,7.9719,7.9834
750930,7.5805,7.8983,8.023,8.0871,8.1255,8.1512,8.1695,8.1833,8.1939,8.2025
751031,6.2263,6.8927,7.2355,7.4185,7.5288,7.6024,7.655,7.6946,7.7253,7.7498
751128,6.5496,7.0986,7.4122,7.5917,7.7022,7.7764,7.8294,7.8693,7.9002,7.925
751231,6.0798,6.6524,6.9829,7.2001,7.3529,7.4653,7.5506,7.6171,7.6697,7.7122
760130,5.5496,6.342,6.8581,7.1674,7.3611,7.4916,7.585,7.6553,7.7098,7.7534
760227,6.0891,6.6663,7.0094,7.2233,7.3614,7.4558,7.5237,7.5748,7.6146,7.6463
760331,5.9868,6.5948,6.928,7.1276,7.2548,7.3413,7.4035,7.4504,7.4867,7.5158
760430,5.9559,6.5405,6.8514,7.0548,7.1997,7.3074,7.3897,7.454,7.5049,7.5462
760528,6.6244,7.1627,7.4008,7.5321,7.6149,7.6719,7.7135,7.7451,7.7698,7.7897
760630,6.3394,6.8409,7.1216,7.3018,7.4232,7.5088,7.5714,7.619,7.656,7.6857
760730,6.0674,6.6308,6.9594,7.1742,7.3218,7.4276,7.5059,7.5658,7.6126,7.6502
