Name,US GDP (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - DURABLES (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - NONDURABLES(AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - SERVICES (AR) CONA,US PRIVATE DOMESTIC FIXED INVESTMENT (AR) CONA,US CHANGE IN PRIVATE INVENTORIES (NIA) (AR) CONA,US EXPORTS OF GOODS & SERVICES (NIA) (AR) CONA,US IMPORTS OF GOODS & SERVICES (NIA) (AR) CONA,US GOVERNMENT CONSUMPTION & INVESTMENT (AR) CONA,US GDP (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - DURABLES (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - NONDURABLES(AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - SERVICES (AR) CURA,US PRIVATE DOMESTIC FIXED INVESTMENT (AR) CURA,US CHANGE IN PRIVATE INVENTORIES (AR) CURA,US EXPORTS OF GOODS & SERVICES (NIA) (AR) CURA,US IMPORTS OF GOODS & SERVICES (NIA) (AR) CURA,US GOVERNMENT CONSUMPTION & INVESTMENT (AR) CURA,US IMPLICIT PRICE DEFLATOR - GDP SADJ,US IPD - PERSONAL CONSUMPTION EXPENDITURES SADJ,US CPI - ALL URBAN: ALL ITEMS SADJ,US CPI - ALL ITEMS LESS FOOD & ENERGY (CORE) SADJ,US PPI - FINISHED GOODS SADJ,US INDUSTRIAL PRODUCTION - TOTAL INDEX VOLA,"US CIVILIAN LABOR FORCE, (16 YRS & OVER) VOLA",US TOTAL CIVILIAN EMPLOYMENT VOLA,US CIVILIAN NONINSTITUTIONAL POPULATION - 16 YRS & OVER VOLN,US UNEMPLOYMENT RATE SADJ,US EMPLOYED - NONFARM INDUSTRIES TOTAL (PAYROLL SURVEY) VOLA,US AVG WKLY HOURS - TOTAL PRIVATE NONFARM VOLA,US FEDERAL FUNDS RATE (AVG.),US TREASURY BILL SECONDARY MARKET RATE ON DISCOUNT BASIS-3 MONTH,US TREASURY BILL SECONDARY MARKET RATE ON DISCOUNT BASIS-6 MONTH,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 1 YEAR,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 5 YEAR,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 10YEAR,US STANDARD & POOR'S INDEX OF 500 COMMON STOCKS(MONTHLY AVE NADJ,US DOW JONES INDUSTRIALS SHARE PRICE INDEX (EP) NADJ,US NEW YORK STOCK EXCHANGE COMPOSITE SHARE PRICE INDEX,US THE CONFERENCE BOARD LEADING ECONOMIC INDICATORS INDEX SADJ,US NET PRIVATE SAVING CURA,US NET GOVERNMENT SAVING CURA,US NONRESL. PRIVATE FIXED INVESTMENT - STRUCTURES (AR) CONA,US NONRESL.PRIVATE FIXED INVESTMENT-EQUIPMENT & SOFTWARE(AR),US RESIDENTIAL PRIVATE DOMESTIC INVESTMENT (AR) CONA,US NONRESL. PRIVATE FIXED INVESTMENT - STRUCTURES (AR) CURA,US NONRESL.PRIVATE FIXED INVESTMENT-EQUIPMENT & SOFTWARE(AR),US RESIDENTIAL PRIVATE DOMESTIC INVESTMENT (AR) CURA,US NET WORTH - HOUSEHOLDS & NONPROFITS (FOF) CURN,US TOTAL ASSETS - HHOLDS & NONPROFITS CURN,US REAL ESTATE ASSETS - HOUSEHOLDS & NONPROFITS (FOF) CURN,US FINANCIAL LIABILITIES - HOUSEHOLDS & NONPROFITS(FOF) CURN,"US GDP IN REAL TERMS,POTENTIAL OUTPUT (AR) CONA",US RATIO OF POTENTIAL AND ACTUAL REAL GDP (AR) SADJ,US MONETARY BASE CURA,US MONEY SUPPLY M1 CURA,US MONEY SUPPLY M2 CURA
Q2 1967,3919.6,2438.1,,,,,23.2,140.5,182.8,1218.5,822.3,504.6,74.5,184,246,117.3,6.3,43.5,39,189.6,20.98,20.694,33.167,34.5,35.5,38.7906,76940,74001,129527,3.8,65612,37.8,3.99,3.66,3.86,4.25,4.76,4.82,91.66,860.26,531.54,38.933,85.9,-3.5,,,,30.9,54.8,31.6,2744.9,3126.82,763.02,381.92,,,52689,175.6,497.1
Q3 1967,3950.8,2450.6,,,,,30.8,137.1,185.2,1231.2,837,511.8,74.7,185.8,251.3,119.2,9.3,42.4,39.5,193.8,21.185,20.885,33.5,34.867,35.8,39.0574,77663,74714,130166,3.8,66064,37.8,3.89,4.3,4.84,5.13,5.31,5.25,94.437,926.66,567.92,39.867,90.2,-2.1,,,,31.5,54.3,33.4,2827.99,3216,774.72,388.01,,,53394,179.5,510.6
Q4 1967,3981,2465.7,,,,,30.1,141,195,1239.6,852.7,519.4,75.6,187.9,255.8,124.5,8.4,43.9,41.7,198.2,21.419,21.063,33.867,35.233,35.9,40.1025,78292,75216,130757,3.9,66609,37.8,4.17,4.75,5.27,5.56,5.7,5.64,94.54,905.11,569.18,40.433,93.9,-1.6,,,,32,56.5,36,2901.21,3299.05,794.45,397.84,,,54288,182.4,521.4
Q1 1968,4063,2524.6,,,,,27.3,145.1,206.5,1261.3,879.8,537.3,80.9,193.5,263,128.8,8.4,45.5,44.4,204.1,21.653,21.284,34.2,35.667,36.2,40.675,78021,75103,131267,3.7,67105,37.7,4.79,5.05,5.25,5.47,5.63,5.61,91.627,840.67,529.22,41.033,87.5,1.1,,,,33.1,58.8,36.9,2900.09,3300.81,817.91,400.72,,,55166,184.8,530.3
Q2 1968,4132,2563.3,,,,,48.9,148,209.6,1267.1,904.1,551.1,83.1,197.8,270.3,129.3,14.1,47.4,45.4,207.6,21.88,21.501,34.533,36.033,36.5,41.2233,78746,75950,131712,3.6,67704,37.7,5.98,5.52,5.65,5.94,5.86,5.74,98.023,897.8,592.97,41.033,91.9,0.7,,,,33.2,58,38.2,3037.23,3450.31,836.3,413.09,,,55962,188,539.1
Q3 1968,4160.3,2611.5,,,,,26.1,156.7,222.2,1269.7,919.3,567.3,87.5,202.8,276.9,132,7.7,49.5,48.2,210.9,22.096,21.723,35,36.533,36.8,41.5432,78880,76101,132250,3.5,68314,37.7,5.94,5.2,5.3,5.51,5.53,5.46,99.917,935.79,610.1,41.333,82.3,8.8,,,,33.2,59.9,38.9,3091.71,3512.37,849.66,420.66,,,56921,191.7,549.5
Q4 1968,4178.3,2623.5,,,,,21,154.7,220.3,1270.8,936.2,576.2,87.8,205,283.4,138.3,6,49.2,48.2,214.6,22.407,21.965,35.433,37.067,37.1,42.174,79195,76499,132880,3.4,68983,37.6,5.92,5.59,5.69,5.84,5.78,5.77,105.213,943.75,622.79,41.967,84.5,9.7,,,,34.8,62.6,40.9,3255.32,3689.11,889.81,433.78,,,57907,195.8,562.3
Q1 1969,4244.1,2652.9,,,,,37,136.1,199.6,1272,960.9,588.4,90,208.8,289.6,144.2,11.5,44,43.8,216.5,22.64,22.181,35.867,37.567,37.3,42.9945,79874,77166,133476,3.4,69681,37.6,6.57,6.09,6.25,6.36,6.33,6.18,100.933,935.48,601.12,42.2,78.6,21.8,,,,35.8,65.2,43.2,3263.58,3696.53,914.76,432.95,,,58838,199.3,571.9
Q2 1969,4256.5,2669.8,,,,,31.2,166.7,238.9,1266.7,976.1,599.8,90.4,212.2,297.1,146.4,9.2,53.9,52.7,219.4,22.932,22.466,36.433,38.167,37.8,43.1822,80367,77605,134020,3.4,70345,37.6,8.33,6.2,6.34,6.57,6.53,6.35,101.673,873.19,572.36,41.933,79.3,19.1,,,,36.7,66.4,43.4,3259.12,3703.12,933.03,444,,,59469,200.9,576.9
Q3 1969,4283.4,2682.7,,,,,34.9,162.7,235.8,1268.5,996.3,610.1,90.6,216,303.5,150.1,10.2,53.3,52.4,224.9,23.26,22.743,36.933,38.7,38.2,43.7005,81074,78153,134595,3.6,70884,37.5,8.98,7.02,7.25,7.65,7.2,6.86,94.467,813.09,546.56,41.233,88.8,13.9,,,,38.9,68,43.2,3273.25,3723.34,945.15,450.09,,,60069,201.8,580.6
Q4 1969,4263.3,2704.1,,,,,18,168.3,233.2,1249.8,1004.5,622.1,90.8,219.7,311.5,148.3,5.8,56.5,53.1,224.9,23.561,23.007,37.5,39.233,38.7,43.4266,81505,78575,135247,3.6,71149,37.5,8.94,7.35,7.6,7.9,7.67,7.3,94.28,800.36,544.86,40.5,84.2,11.2,,,,39.4,68.2,40.7,3280.01,3741.39,968.82,461.39,,,61144,203.5,585.6
Q1 1970,4256.6,2720.7,,,,,3.9,169.8,232.5,1243.1,1017.1,633.2,89.6,224.5,319.1,148.8,1.8,56.9,53.5,229.8,23.895,23.273,38.1,39.833,39.1,42.3744,82210,78780,135950,4.2,71310,37.3,8.57,7.21,7.19,7.55,7.73,7.37,88.707,785.57,527.31,39.233,80.9,5.7,,,,39.5,68.7,40.7,3294.08,3747.88,973.68,453.8,4267816,1.00264,61976,205.6,587.7
Q2 1970,4264.3,2733.2,,,,,16.7,177.2,237.1,1227.1,1033.1,643.1,91,226.5,325.6,148.8,5.1,60.6,55.2,230.6,24.226,23.531,38.633,40.567,39.1,42.1413,82565,78636,136676,4.8,71166,37,7.88,6.68,6.83,7.45,7.77,7.71,79.2,683.53,418.51,38.633,95,-8.5,,,,40.3,69.1,39.4,3203.66,3663.89,1006.55,460.23,4306727,1.00995,62940,207.2,591.7
Q3 1970,4302.3,2757.1,,,,,16.2,176.6,236.5,1232.4,1050.5,655.1,92,229.7,333.4,151,5.1,60.3,56.4,235.5,24.417,23.76,39.033,41.1,39.3,41.9904,82912,78616,137456,5.2,70979,36.9,6.7,6.33,6.51,6.94,7.48,7.46,78.74,760.68,487.87,38.867,99,-12.6,,,,40.6,70,40.4,3322.66,3789.57,1005.85,466.9,4347600,1.01053,63752,209.9,605.1
Q4 1970,4256.6,2749.6,,,,,-14.3,178.3,240.2,1232.4,1052.7,661.8,87.3,234.5,340,152.9,-4,61.1,57.9,238.8,24.73,24.068,39.6,41.767,39.7,41.0827,83498,78643,138260,5.8,70573,36.8,5.57,5.35,5.51,5.65,6.51,6.85,86.233,838.92,531.12,39.1,96.6,-18.1,,,,40.8,67.1,45,3439.02,3914.59,1025.18,475.57,4387441,1.03074,64630,213.7,621.3
Q1 1971,4374,2802.2,,,,,38.5,178.9,237.4,1212.4,1098.1,680.8,98.1,235.8,346.9,159,12.3,63.1,58.7,241.6,25.104,24.296,39.933,42.167,40.1,41.8748,83676,78717,139033,5.9,70843,36.7,3.86,3.84,3.92,4.05,5.48,6.02,96.733,904.37,586.21,40.5,107.3,-18.9,,,,41.5,68.9,48.6,3595.62,4073.99,1051.89,478.37,4426549,1.01201,65987,217.2,641.3
Q2 1971,4398.8,2827.9,,,,,33,178.6,255.3,1208.5,1118.8,694.9,101,238.8,355,167.9,10.9,63.1,63.3,245.3,25.433,24.572,40.3,42.6,40.5,42.2541,83929,78961,139827,5.9,71179,36.8,4.56,4.25,4.45,4.99,6.15,6.25,101.467,891.14,582.51,41.467,114.7,-24.4,,,,42.3,71,54.6,3652.84,4145.6,1078.47,492.76,4466266,1.01534,67241,221.8,666
Q3 1971,4433.9,2850.4,,,,,31.5,185.9,260.9,1207.8,1139.1,707.3,103.4,240.4,363.4,173.2,10.2,65.4,65.5,248.5,25.689,24.813,40.7,42.967,40.6,42.3844,84581,79511,140602,6,71435,36.7,5.47,5.01,5.27,5.75,6.51,6.48,98.547,887.19,574.47,41.933,115.9,-23,,,,43.1,71.7,58.3,3699.17,4204.62,1104.25,505.45,4504898,1.01601,68440,225.7,685.9
Q4 1971,4446.3,2897.8,,,,,-3,170.3,243.2,1198.8,1151.4,723.5,107.3,243.6,372.6,179.5,-0.3,60.3,61.9,250.3,25.896,24.967,41,43.2,40.9,43.3668,85318,80229,141402,5.9,71865,36.9,4.75,4.23,4.4,4.73,5.8,5.89,96.413,890.2,596.68,42.667,116.7,-22.6,,,,43.8,74.2,61.5,3805.96,4327.58,1127.81,521.62,4542723,1.02169,68868,227.8,704.4
Q1 1972,4525.8,2936.5,,,,,10.8,188.4,278.8,1203.1,1190.1,740.9,110.7,247,383.1,189.9,3.2,68.6,72.2,259.6,26.297,25.23,41.333,43.567,41.2,45.198,86208,81213,143005,5.8,72681,36.9,3.54,3.44,3.8,4.41,5.72,6.03,105.41,940.7,631.04,44.133,113.8,-13.8,,,,45.8,77.6,66.6,3955.76,4484.92,1171.3,529.16,4579515,1.01187,70347,232.2,725.6
Q2 1972,4633.1,2992.6,,,,,38,182.9,268.9,1210.6,1225.6,759.4,114.1,254.3,391,194.5,12,67.2,71.4,263.9,26.452,25.376,41.6,43.9,41.5,46.0697,86810,81875,143758,5.7,73463,36.9,4.3,3.77,4.23,4.84,5.98,6.14,108.157,929.03,627.13,44.733,109.1,-9.5,,,,46.6,79.7,68.2,4001.55,4550.31,1192.46,548.75,4614736,0.99604,71458,236,743.8
Q3 1972,4677.5,3038.8,,,,,39,193.9,274.5,1185.6,1249.3,777.9,117.6,260.1,400.3,198.6,13.7,71.5,74.1,261.6,26.708,25.6,41.933,44.233,42,46.6749,87351,82450,144523,5.6,74038,36.8,4.74,4.22,4.73,5.15,6.08,6.29,109.203,953.27,640.77,46,117.5,-7,,,,47.3,81.8,69.6,4110.43,4674.78,1232.56,564.35,4648809,0.99387,72593,241,768.8
Q4 1972,4754.5,3110.1,,,,,14.9,202.2,286.8,1193.1,1286.6,802.7,123.4,268.1,411.2,210.9,7.5,76.1,79.2,268.6,27.06,25.81,42.367,44.467,42.3,48.2744,87675,83002,145215,5.4,74969,36.9,5.14,4.86,5.17,5.44,6.15,6.37,114.037,1020.02,681.79,47.233,137.1,-6.7,,,,49,87.6,74.3,4348.43,4931.07,1290.79,582.64,4684509,0.98528,74394,246.9,794.4
Q1 1973,4876.2,3167,,,,,23.1,217,300.1,1204.8,1335.1,827.3,131.8,275.5,420,222,10.6,84,85.4,276.7,27.38,26.123,43.033,44.8,43.6,49.6664,88232,83842,145964,4.9,75974,36.9,6.54,5.7,5.99,6.31,6.58,6.6,115,951.01,629.98,47.733,136.4,3.7,,,,51.3,92.8,77.9,4357.039,4951.33,1322.92,594.29,4724554,0.9689,76249,251.8,813.2
Q2 1973,4932.6,3165.4,,,,,52.9,227.4,291.4,1197.6,1371.5,842.9,131.3,281.4,430.2,227.8,18.2,91.9,89.5,280,27.804,26.629,43.933,45.267,45.1,50.0527,89181,84797,146719,4.9,76663,36.9,7.82,6.6,6.79,7.02,6.72,6.81,107.413,891.71,579.86,47,143.2,0.5,,,,54.1,98,75.8,4382.797,4996.61,1369.86,613.81,4765486,0.96612,77399,254.8,826.6
Q3 1973,4906.3,3176.7,,,,,23.2,228.2,283.4,1182.3,1390.7,861.4,130.8,289.9,440.6,232,9.8,97.6,91.1,281.1,28.346,27.115,44.8,45.733,46.4,50.5005,89650,85330,147478,4.8,77119,36.9,10.56,8.32,8.41,8.51,7.34,7.21,105.08,947.1,618.67,46.233,147.9,3.9,,,,56.8,100.1,75,4575.297,5207.36,1430.37,632.06,4807072,0.97978,78876,257.7,838.2
Q4 1973,4953.1,3167.4,,,,,56.8,239.4,285.5,1191,1431.8,876.5,128.2,297.7,450.6,232.6,25,107.6,98.7,288.8,28.907,27.671,45.933,46.5,47.2,51.2507,90579,86236,148225,4.8,77850,36.8,10,7.5,7.61,7.41,6.83,6.75,102.217,850.86,547.93,45.467,162.7,7.4,,,,57.7,102.2,72.7,4518.227,5167.32,1472.58,649.09,4848318,0.97885,80575,261,849
Q1 1974,4909.6,3139.7,,,,,26.4,242.5,275.8,1215.9,1446.5,894.7,126.7,308.9,459.2,231.5,12.5,116.7,110.3,301.4,29.463,28.495,47.3,47.233,49.6,50.785,91379,86709,148987,5.1,78217,36.6,9.32,7.62,7.48,7.35,7.03,7.05,95.667,846.68,530.91,44.2,153.2,2.9,,,,59,103.6,69,4538.449,5191.62,1462.56,653.16,4888706,0.99574,82342,265.3,864.7
Q2 1974,4922.2,3150.6,,,,,37,254.3,290.4,1224.1,1484.8,923.2,130.6,318,474.6,234.9,17.4,126.7,129.4,312,30.166,29.302,48.567,48.467,51.1,50.8354,91584,86834,149747,5.2,78511,36.5,11.25,8.15,8.28,8.69,8.07,7.54,90.64,802.41,474.76,43.133,139.7,-0.8,,,,61.3,106.1,67.5,4500.617,5174.57,1461.7,673.95,4930102,1.00161,84316,267.8,875.1
Q3 1974,4873.5,3163.6,,,,,12.7,240.5,285.4,1225.9,1513.7,952,136.3,327.7,488,239.9,5.6,126.6,133.6,323.2,31.059,30.092,49.933,50.133,53.6,50.621,92253,87079,150498,5.6,78622,36.5,12.09,8.19,8.53,9.01,8.46,7.96,75.657,607.87,353.69,41.233,133.3,-1.3,,,,61.4,111.1,67.4,4419.809,5111.52,1475.51,691.71,4969970,1.01979,85930,270.1,884.5
Q4 1974,4854.3,3117.3,,,,,40.2,246.8,282.5,1230.2,1552.8,961.8,127.1,330.9,503.8,235.4,20.4,136.6,136.6,335.1,31.987,30.855,51.467,51.6,56,48.6444,92688,86588,151253,6.6,78181,36.2,9.35,7.36,7.46,7.67,7.65,7.67,69.417,616.24,382.03,39,147,-21.5,,,,63.2,112.1,60,4557.789,5262.62,1517.44,704.82,5009836,1.03204,87030,273.4,898
Q1 1975,4795.3,3143.4,,,,,-15.4,248.6,254.2,1245.2,1569.4,988.1,131.8,336.2,520.1,228.7,-10,141.4,124.9,346.2,32.729,31.433,52.567,52.7,56.6,45.4366,93023,85357,151986,8.3,76955,35.9,6.3,5.75,5.87,6.31,7.27,7.54,78.813,768.15,467.46,38.233,145.9,-47.9,,,,61.7,109.3,57.7,4825.039,5529.06,1582.8,704.03,5046958,1.05248,88288,275.1,915.1
Q2 1975,4831.9,3195.8,,,,,-29.6,241.3,233.8,1235.7,1605,1016.8,136.7,344.8,535.3,230.7,-14,136.8,115.2,349.8,33.216,31.818,53.2,53.533,57.5,44.824,93619,85332,152707,8.9,76535,35.9,5.42,5.39,5.73,6.53,7.74,8.05,89.073,878.99,537.67,39.833,194,-103.2,,,,60.4,110.4,59.9,5065.648,5783.81,1642.05,718.16,5081680,1.05169,89848,279.3,948.7
Q3 1975,4913.3,3241.4,,,,,-5.8,237.3,253.3,1257.4,1662.4,1050.6,146.8,356,547.9,239.2,-1.4,134.1,122.1,362,33.835,32.413,54.267,54.233,58.9,45.9441,94128,86136,153579,8.5,77051,36,6.16,6.33,6.79,7.52,8.21,8.3,87.623,793.88,470.43,41.233,175.1,-60.1,,,,61.3,113.3,64.6,5025.508,5762.79,1642.36,737.28,5121195,1.04231,91731,284.5,983.2
Q4 1975,4977.5,3275.7,,,,,-0.3,250.7,266.8,1268,1713.9,1079.6,153.4,359.7,566.5,247.3,0.3,142.5,128.7,372.9,34.433,32.958,55.267,55.167,60,46.9447,94309,86497,154337,8.3,77744,36.1,5.41,5.63,5.97,6.68,7.84,8.06,89.113,852.41,503.73,42.133,183.6,-61.5,,,,62,116.6,68.7,5184.859,5945.79,1684.2,760.93,5156825,1.03603,93236,286.4,1007
Q1 1976,5090.7,3341.2,,,,,31.8,249,283.5,1271.2,1771.9,1113.4,163.3,367.4,582.6,260.1,14.7,143.6,138.9,379.1,34.807,33.323,55.9,56.2,60,48.393,95049,87686,155075,7.7,78791,36.2,4.83,4.92,5.26,5.98,7.47,7.75,99.527,999.45,579.44,43.867,184.2,-48.6,,,,64.1,119.8,76.2,5393.367,6164.04,1717.89,770.67,5192471,1.01999,95035,290.6,1039
Q2 1976,5128.9,3371.8,,,,,47.1,251.5,295.8,1257.3,1804.2,1133,165.9,373.1,594.1,269.1,22.4,146.6,147.1,380.1,35.178,33.603,56.4,56.967,60.4,49.0043,95826,88591,155773,7.6,79327,36.1,5.2,5.16,5.52,6.28,7.48,7.77,101.62,1002.78,589.06,44.633,180.4,-43.5,,,,65.1,123.4,80.7,5568.207,6365.29,1789.86,797.07,5224353,1.01861,97154,295.6,1070.2
Q3 1976,5154.1,3407.5,,,,,43.9,258.8,307.9,1250.7,1837.7,1162.4,169.8,380.6,612,275.7,20.8,151.8,155.8,382.8,35.655,34.114,57.3,57.9,60.9,49.6182,96626,89163,156527,7.7,79714,36,5.28,5.15,5.41,6.01,7.31,7.73,104.313,990.19,594.56,45.533,180.9,-47.2,,,,66.7,128.4,80.6,5672.738,6495.07,1826.61,822.33,5256422,1.01985,98856,298.6,1098.6
Q4 1976,5191.5,3451.8,,,,,14.2,261.4,318,1249.7,1884.5,1196.2,175.5,389.6,631.1,294.4,10.5,156.1,162.7,390,36.3,34.653,58.133,58.7,61.9,50.5132,97102,89570,157222,7.8,80197,35.9,4.87,4.67,4.82,5.23,6.46,7.19,102.58,1004.65,612.01,46.233,174.9,-45.8,,,,67.8,134.1,92.5,5836.359,6686.89,1880.05,850.52,5288225,1.01863,100824,303.9,1138.4
Q1 1977,5251.8,3491.3,,,,,24,257.2,333.1,1261,1938.5,1231.7,183.9,396.5,651.3,311.8,14.8,155.4,176.4,401.3,36.911,35.278,59.2,59.667,63.1,51.5693,97703,90359,157911,7.5,81023,35.8,4.66,4.63,4.87,5.42,6.78,7.35,101.78,919.13,566.01,47.133,168.2,-37.6,,,,69.7,144.5,97.6,5930.77,6797.98,1949.31,867.21,5322833,1.01353,102743,311.2,1177.1
Q2 1977,5356.1,3510.6,,,,,40.2,264.1,336.2,1274.1,2005.2,1259.7,189.2,403.7,666.7,335.4,19.5,161.9,183,411.8,37.438,35.882,60.233,60.633,64.3,53.1335,98696,91661,158652,7.1,82102,36,5.16,4.84,5.07,5.69,6.83,7.37,99.033,916.3,582.61,47.933,192.9,-29.5,,,,73.6,150.1,111.7,6111.078,7016.74,2047.65,905.65,5360889,1.00089,104631,317.3,1208.8
Q3 1977,5451.9,3544.1,,,,,71.1,266.2,331.5,1276.5,2066,1290.9,194,409.9,687,347.5,30.9,162.3,182.9,417.3,37.894,36.423,61.067,61.5,65.2,53.7497,99244,92409,159430,6.9,83147,35.9,5.82,5.5,5.76,6.28,6.97,7.36,98.053,847.11,558.4,48.333,214.2,-31.6,,,,76.4,156.1,115,6241.879,7185.79,2125.26,943.92,5399283,0.99035,107167,322.3,1236.6
Q4 1977,5450.8,3597.5,,,,,37.1,257.6,336.2,1272.3,2110.8,1329.1,200.7,423.6,704.8,361.4,24.1,157.8,187.4,425.8,38.725,36.945,61.967,62.333,66.3,54.1021,100294,93639,160140,6.7,84125,35.9,6.51,6.11,6.41,6.96,7.38,7.6,93.947,831.17,555.12,48.567,216.4,-33.2,,,,78.5,165.9,116.9,6387.438,7369.06,2211.55,981.62,5436579,0.99739,109545,328.6,1262.2
Q1 1978,5469.4,3618.5,,,,,43.2,263.7,358.7,1274.4,2149.1,1359.1,198.2,431.1,729.8,371.3,25.5,164.6,203.3,431.9,39.292,37.559,63.033,63.433,67.4,53.9258,100934,94553,160829,6.3,85001,35.6,6.76,6.39,6.69,7.31,7.82,8.01,89.35,757.36,527.1,48.4,216.1,-31.7,,,,80,170.3,121,6538.75,7543.14,2286.97,1004.39,5471918,1.00046,112226,335.6,1285.8
Q2 1978,5684.6,3695.9,,,,,42.5,291.2,359.9,1308.8,2274.7,1416.7,216.2,444.8,755.7,406.6,24.3,186.2,208.8,449.7,40.016,38.332,64.467,64.733,69.1,56.0591,101947,95835,161525,6,86541,35.8,7.28,6.48,6.99,7.79,8.17,8.32,95.927,818.95,567.39,49.2,219,-4.8,,,,90.3,185.8,130.6,6799.898,7853.88,2392.93,1053.98,5512661,0.96975,114390,343.9,1309.8
Q3 1978,5740.3,3711.4,,,,,44.8,294.4,364.6,1319.3,2335.2,1447.7,216.7,455.6,775.4,426.4,25,191.3,215.1,459.9,40.681,39.007,65.967,66.133,70.6,56.5952,102568,96397,162265,6,87435,35.8,8.1,7.31,7.6,8.45,8.43,8.49,101.657,865.82,610.95,49.3,229.3,-5.9,,,,98.6,192,135.8,7055.637,8158.08,2484.73,1102.44,5554904,0.9677,117096,349.8,1334.2
Q4 1978,5816.2,3741.3,,,,,51.9,306.1,369.6,1331.2,2416,1487,222.3,469.4,795.3,444.3,28.5,205.4,221.8,472.7,41.54,39.745,67.5,67.6,72.1,57.6162,103484,97400,163024,5.9,88340,35.7,9.58,8.57,9.05,9.82,8.84,8.82,97.133,805.01,566.96,49.167,236.1,1.5,,,,105.5,199.8,139,7215.449,8360.18,2578.28,1144.73,5599115,0.96268,119741,355.3,1359.1
Q1 1979,5825.9,3760.2,,,,,39.8,306.3,368.6,1319.2,2463.3,1522.6,223.3,484.6,814.7,457.3,23.9,211.7,229.8,477.8,42.282,40.492,69.2,69.167,74.4,57.8538,104383,98252,163756,5.9,89115,35.7,10.07,9.38,9.45,10.3,9.18,9.11,99.35,862.18,604.08,48.767,241,5.8,,,,107.9,210.9,138.5,7522.969,8696.1,2704.9,1173.13,5641357,0.96832,121614,360.3,1379.1
Q2 1979,5831.4,3758,,,,,44.9,307.1,370.6,1333.2,2526.4,1563.2,222.1,500.1,841,465.6,27.4,220.9,243.1,492.5,43.325,41.597,71.4,70.8,76.2,57.7729,104327,98371,164447,5.7,89772,35.5,10.18,9.38,9.36,9.94,9.11,9.11,101.177,841.98,617.29,48.2,233.6,3,,,,112.8,212.1,140.6,7788.789,9010.43,2833.21,1221.64,5682759,0.97451,123647,370.3,1411.8
Q3 1979,5873.3,3794.9,,,,,17,318.2,364.9,1335.1,2599.7,1617.7,230.9,522.3,864.4,485.7,12.1,234.3,257.3,507.2,44.263,42.627,73.7,72.633,78.4,57.5642,105209,99041,165200,5.9,90278,35.6,10.95,9.67,9.64,10.15,9.12,9.1,106.223,878.58,658.11,47.6,228.9,-0.7,,,,121.8,220.5,143.5,8079.707,9351.61,2937.6,1271.91,5729632,0.97554,127066,378.4,1445.2
Q4 1979,5889.5,3805,,,,,10.3,338.2,372.9,1343.8,2659.4,1661.2,229,539.4,892.8,491,8.6,253.7,280.5,525.5,45.155,43.658,76.033,74.833,81.3,57.7845,105923,99637,166055,6,90574,35.6,13.58,11.84,11.77,12.27,10.66,10.45,105.303,838.74,655.04,46.533,237.6,-12,,,,128.3,221.3,141.4,8320.777,9638.62,3026.47,1317.84,5779898,0.98139,130323,381.1,1466.7
Q1 1980,5908.5,3798.4,,,,,13.4,347.7,373.2,1365.4,2724.1,1708,232.1,559.9,916,495.3,9.9,268.5,304.3,546.7,46.105,44.965,79.033,77.6,84.5,58.0225,106567,99862,166762,6.3,90890,35.4,15.05,13.35,13.24,13.93,12.27,11.99,110.3,785.75,609.58,45.767,231.3,-23,,,,132.6,228.8,134,8493,9841.2,3142.95,1348.2,5828784,0.98651,132797,388.1,1492.4
Q2 1980,5787.4,3712.2,,,,,11.4,354.2,346.1,1369.7,2728,1710,211.9,565.9,932.2,462.7,7.8,277.4,292.6,562.7,47.137,46.065,81.7,80.2,86.7,55.58,106767,98953,167416,7.3,90452,35.1,12.69,9.62,9.61,10.28,10.33,10.48,108.403,867.92,690.89,43.533,236.1,-52.1,,,,132.3,218.6,111.7,8833.477,10201.42,3229.7,1367.94,5873785,1.01493,135139,385.9,1514.6
Q3 1980,5776.6,3752,,,,,-48.8,353.5,321.2,1350.8,2785.2,1768.7,225.4,576.5,966.9,477.3,-33.9,284.7,279.2,567.5,48.215,47.141,83.233,81.4,89.5,54.685,107121,98899,168111,7.7,90043,35,9.84,9.15,9.35,10.14,10.66,10.95,123.28,932.42,765.33,45.233,244.4,-64.3,,,,135.8,225.3,116.3,9233.188,10636.84,3354.37,1403.65,5919970,1.02482,137945,399.3,1560.3
