Name,IT CONSUMPTION OF FIXED CAPITAL CURA,IT COMPENSATION OF EMPLOYEES CURA,IT OPERATING SURPLUS & MIXED INCOME CURA,IT RESIDUAL - GDP BY INCOME CURA,IT TAXES LESS SUBSIDIES ON PRODUCTION & IMPORTS CURA,IT GDP CURA
Code,ITOCOS01B,ITOCOS02B,ITOCOS12B,ITOCOS14B,ITOCOS15B,ITOEXP03B
Q1 2002,44611.27,127570.8,105704.8,0,41110,318996.8
Q2 2002,45220.98,128174.3,106339.1,0,42019.19,321753.6
Q3 2002,45756.21,129659.8,107534,0,42705.34,325655.3
Q4 2002,46216.98,130605,108141.8,0,43893.45,328857.3
Q1 2003,46603.27,130729.4,108246.9,0,42433.48,328013.1
Q2 2003,47079.28,132741.9,108980.2,0,42153.62,330955
Q3 2003,47645.02,136769.9,110590.2,0,43525.52,338530.6
Q4 2003,48300.48,135988.8,111416.9,0,43108.37,338814.5
Q1 2004,49045.67,136717.1,113647,0,43972.75,343382.5
Q2 2004,49716.65,138994.9,114711,0,44210.32,347632.9
Q3 2004,50313.42,138515.6,114087.4,0,44780.41,347696.9
Q4 2004,50835.98,140374.4,110909.9,0,46561.5,348681.8
Q1 2005,51284.33,142087.8,110459.8,0,45235.82,349067.7
Q2 2005,51734.8,143038.6,111360.4,0,46783.33,352917.1
Q3 2005,52187.38,143878.6,111605.5,0,47465.43,355136.9
Q4 2005,52642.06,149231.4,111272.7,0,47474.41,360620.6
Q1 2006,53098.86,148927.1,110126,0,48992.02,361144.1
Q2 2006,53555.66,152060.5,113456.8,0,49757.61,368830.6
Q3 2006,54012.46,150919.9,115266.1,0,49868.26,370066.8
Q4 2006,#NA,#NA,#NA,#NA,#NA,#NA
Q1 2007,#NA,#NA,#NA,#NA,#NA,#NA
