Name,US GDP (AR) CONA,US PERSONAL CONSMPTN. EXPENDITURES (QUARTERLY SERIES) (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - DURABLES (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - NONDURABLES(AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - SERVICES (AR) CONA,US PRIVATE DOMESTIC FIXED INVESTMENT (AR) CONA,US CHANGE IN PRIVATE INVENTORIES (NIA) (AR) CONA,US EXPORTS OF GOODS & SERVICES (NIA) (AR) CONA,US IMPORTS OF GOODS & SERVICES (NIA) (AR) CONA,US GOVERNMENT CONSUMPTION & INVESTMENT (AR) CONA,US GDP - (AR) CURA,US PERSONAL CONSMPTN. EXPENDITURES (QUARTERLY SERIES) (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - DURABLES (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - NONDURABLES(AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - SERVICES (AR) CURA,US PRIVATE DOMESTIC FIXED INVESTMENT (AR) CURA,US CHANGE IN PRIVATE INVENTORIES (NIA) (AR) CURA,US EXPORTS OF GOODS & SERVICES (NIA) (AR) CURA,US IMPORTS OF GOODS & SERVICES (NIA) (AR) CURA,US GOVERNMENT CONSUMPTION & INVESTMENT (AR) CURA,US IMPLICIT DEFLATOR - GDP SADJ,US IPD - PERSONAL CONSUMPTION EXPENDITURES SADJ,US CPI - ALL URBAN: ALL ITEMS SADJ,US CPI - ALL ITEMS LESS FOOD & ENERGY (CORE) SADJ,US PPI - FINISHED GOODS SADJ,US INDUSTRIAL PRODUCTION - TOTAL INDEX VOLA,"US CIVILIAN LABOR FORCE, (16 YRS & OVER) VOLA",US TOTAL CIVILIAN EMPLOYMENT VOLA,US CIVILIAN NONINSTITUTIONAL POPULATION - 16 YRS & OVER VOLN,US UNEMPLOYMENT RATE SADJ,US EMPLOYED - NONFARM INDUSTRIES TOTAL (PAYROLL SURVEY) VOLA,US AVG WKLY HOURS - TOTAL PRIVATE NONFARM VOLA,US FEDERAL FUNDS RATE (AVG.),US TREASURY BILL SECONDARY MARKET RATE ON DISCOUNT BASIS-3 MONTH,US TREASURY BILL SECONDARY MARKET RATE ON DISCOUNT BASIS-6 MONTH,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 1 YEAR,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 5 YEAR,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 10YEAR,US STANDARD & POOR'S INDEX OF 500 COMMON STOCKS(MONTHLY AVE NADJ,US DOW JONES INDUSTRIALS SHARE PRICE INDEX (EP) NADJ,US NEW YORK STOCK EXCHANGE COMPOSITE SHARE PRICE INDEX,US THE CONFERENCE BOARD LEADING ECONOMIC INDICATORS INDEX SADJ,US NET PRIVATE SAVING CURA,US NET GOVERNMENT SAVING CURA,US NONRESIDENTIAL PRIVATE FIXED INVESTMENT- STRUCTURES (AR) CONA,US NONRESL.PRIVATE FIXED INVESTMENT-EQUIPMENT & SOFTWARE(AR),US RESIDENTIAL PRIVATE DOMESTIC INVESTMENT (AR) CONA,US NONRESIDENTIAL PRIVATE FIXED INVESTMENT- STRUCTURES (AR) CURA,US NONRESIDENTIAL PRIV FIXED INVEST-EQUIPMENT & SOFTWARE(AR),US RESIDENTIAL PRIVATE DOMESTIC INVESTMENT (AR) CURA,US NET WORTH - HOUSEHOLDS & NONPROFITS (FOF) CURN,US TOTAL ASSETS - HHOLDS & NONPROFITS CURN,US FINANCIAL LIABILITIES - HOUSEHOLDS & NONPROFITS(FOF) CURN,"US GDP IN REAL TERMS,POTENTIAL OUTPUT (AR) CONA",US RATIO OF POTENTIAL AND ACTUAL REAL GDP (AR) SADJ
Q1 2004,10543.6,7475.1,1066.2,2156.7,4262.9,1647.9,35,1101.8,1650.9,1925.4,11405.5,8010.1,969.6,2284.2,4756.3,1732.6,37,1140.9,1684.1,2169.1,108.175,107.157,186.667,195.033,145.9,102.756,146809,138471,222356,5.7,130541,33.8,1,0.92,0.98,1.22,2.99,4.02,1133.286,10357.7,6599.06,130.4,597.8,-419,242.9,861.9,540.5,284,816.4,632.2,44894.07,54957.99,10063.92,10578120,1.00327
Q2 2004,10634.2,7520.5,1071.3,2164.9,4294.6,1698.7,64.9,1119.4,1710.5,1931.8,11610.3,8135,974.8,2327.7,4832.4,1806.6,69,1172.8,1775.8,2202.8,109.178,108.171,188.167,196.2,148.1,103.263,147117,138899,222973,5.6,131261,33.7,1.01,1.08,1.33,1.78,3.72,4.6,1122.823,10435.5,6602.99,132.7,571.8,-376.1,246.5,887.4,561.7,293.5,842,671.1,45639.31,56011.7,10372.39,10646500,1.00116
Q3 2004,10728.7,7585.5,1091.5,2181.4,4325.2,1736.7,60.1,1128,1730.8,1939.4,11779.4,8245.1,986.9,2353.5,4904.6,1864.7,65,1187.3,1820,2237.3,109.793,108.695,189.433,197.067,148.5,103.777,147578,139550,223680,5.4,131640,33.7,1.43,1.49,1.75,2.08,3.51,4.3,1104.15,10080.27,6570.25,133.733,517.9,-374.2,248.7,920,567.5,303.4,869.3,692,45907.47,56576.5,10669.03,10715600,0.99878
Q4 2004,10796.4,7664.3,1110.1,2207.5,4361.1,1767.7,57.2,1155.3,1787.7,1930.6,11948.5,8393.3,1004.1,2409.3,4979.9,1916.1,63.4,1228.6,1911.2,2258.2,110.671,109.512,191.367,198.233,151.4,105.261,148028,140046,224418,5.4,132234,33.7,1.95,2.01,2.23,2.47,3.49,4.17,1162.073,10783,7250.06,134.467,516.9,-307.1,248.6,951.2,570.9,312,897.4,706.6,48092.83,59127.94,11035.11,10784700,0.99892
Q1 2005,10878.4,7709.4,1116,2226.8,4381.3,1785.3,63.4,1172.4,1796.8,1936.8,12154,8488.8,1009.7,2432.1,5047,1960.4,69.3,1260.8,1931.9,2306.7,111.726,110.11,192.3,199.467,152.7,106.654,148195,140380,225038,5.3,132655,33.7,2.47,2.54,2.79,3.06,3.88,4.3,1191.98,10503.76,7167.53,135.133,510.4,-266,249.8,960,578.3,323.3,909.7,727.3,48319.56,59542.13,11222.57,10854330,0.99779
Q2 2005,10954.1,7775.2,1146.3,2247.2,4401.3,1819.8,10.1,1199.3,1800.3,1942.5,12317.4,8632.6,1036,2484.3,5112.3,2012.5,12.2,1301.2,1981,2339.8,112.446,111.027,193.633,200.433,154.1,107.147,149144,141516,225674,5.1,133341,33.7,2.94,2.86,3.09,3.34,3.87,4.16,1181.72,10274.97,7217.78,135.667,490,-261.6,248.9,977.4,596.4,328.8,926.9,756.8,49283.7,60835.56,11551.86,10924740,0.99732
Q3 2005,11074.3,7852.8,1163.5,2260.9,4449.1,1854.9,5.9,1205.6,1809.7,1957.6,12558.8,8810.5,1044.1,2557,5209.4,2072.7,5.8,1316,2041,2394.8,113.405,112.196,196.633,201.167,156.7,107.034,149776,142314,226422,5,134121,33.7,3.46,3.36,3.58,3.79,4.04,4.21,1224.14,10568.7,7632.98,136.3,263.4,-388.9,244.8,1011.1,606.4,334.2,952.9,785.7,50417.2,62316.75,11899.54,10995810,0.99291
Q4 2005,11107.2,7876.9,1123.8,2286.8,4477.5,1865.6,53.6,1236.4,1879,1948.2,12705.5,8899.3,1005.7,2591.3,5302.4,2115.5,60.5,1359.6,2141.9,2412.5,114.389,112.981,198.567,202.433,159.3,108.004,150067,142652,227196,4.9,134661,33.8,3.98,3.83,4.11,4.29,4.39,4.49,1230.467,10717.5,7753.95,137.6,448.9,-295.6,247.7,1018.7,607.2,352,960.5,803,51780.01,63971.15,12191.13,11068240,0.99649
Q1 2006,11238.7,7961.9,1167.8,2312.3,4501,1901.4,38.4,1270.6,1910.7,1971.8,12964.6,9034.7,1042.6,2622.1,5370,2176.8,44.3,1406.6,2169.9,2472.1,115.357,113.474,199.433,203.667,159.6,108.853,150437,143356,227764,4.7,135383,33.8,4.46,4.39,4.54,4.63,4.55,4.57,1283.037,11150.7,8271.79,138.333,484.7,-184,256.5,1050.2,606.1,375.7,991.7,809.4,53246.63,65740.88,12494.26,11134160,0.9907
Q2 2006,11306.7,8009.3,1170.2,2325.6,4531.6,1892.3,51.4,1288.4,1915,1976.5,13155,9183.9,1042.8,2692.2,5448.9,2179.5,59.5,1447.4,2227.8,2512.5,116.347,114.665,201.267,205.4,160.8,109.547,151139,144083,228433,4.7,135840,33.9,4.91,4.7,4.96,5.02,4.99,5.07,1281.767,11190.8,8138.86,137.867,460,-197,266.4,1050.1,587.5,400.2,991.1,788.2,53323.26,66173.88,12850.68,11206000,0.99109
Q3 2006,11336.7,8063.8,1186.3,2343.9,4554,1869.6,53.9,1306.6,1940.4,1980.2,13266.9,9305.7,1053.8,2732.4,5519.5,2161.3,62.8,1484.5,2283.6,2536.1,117.026,115.401,203.2,206.867,161.1,110.069,151670,144604,229166,4.6,136354,33.9,5.25,4.91,4.97,5.09,4.84,4.9,1285.59,11679.07,8469.65,137.367,409.7,-226.9,273.3,1057.6,555,416.1,999.1,746.1,54224.66,67396.63,13172.01,11278730,0.99489
Q4 2006,11395.5,8141.2,1197.6,2368.8,4595.5,1835.5,17.4,1350.9,1948.2,1997.2,13392.3,9373.7,1056.5,2705.4,5611.8,2132.4,20,1531.9,2237.2,2571.4,117.522,115.139,202.433,207.8,159.8,109.815,152414,145642,229896,4.4,136789,33.9,5.25,4.9,4.92,4.99,4.6,4.63,1389.477,12463.15,9139.02,137.867,434.4,-173.9,278.3,1044.4,529.4,428.4,988.7,715.3,55800.2,69254.63,13454.46,11352590,0.99623
Q1 2007,11412.6,8215.7,1223.2,2386.6,4630.7,1815.2,0.1,1354.7,1966.8,1994.7,13551.9,9540.5,1074,2759.4,5707.1,2118.9,-1.6,1549.9,2264,2608.3,118.745,116.125,204.269,208.975,162.7,110.234,152856,145983,230839,4.5,137184,33.8,5.26,4.98,4.93,5.01,4.65,4.68,1425.299,12354.35,9261.82,137.633,432.8,-224.3,282.6,1045.3,506.3,439.6,991.8,687.5,56530.48,70141.88,13611.4,11421600,1.00079
Q2 2007,11520.1,8244.3,1228.4,2383.8,4656.7,1829.3,5.8,1379.5,1953.4,2014.8,13768.8,9674,1074.7,2822.7,5776.5,2133.9,5.1,1598.7,2312.9,2670,119.519,117.341,206.566,210.025,166.2,111.092,152801,145904,231482,4.5,137500,33.8,5.25,4.74,4.8,4.93,4.76,4.85,1496.43,13408.62,9873.02,137.7,423.5,-193.4,299.5,1057.4,490.7,464.5,1004.5,664.8,57616.89,71537,13920.13,11491280,0.9975
Q3 2007,11658.9,8302.2,1241.9,2396.8,4689.5,1826,30.6,1441.2,1974.3,2033.6,13970.5,9785.7,1081.6,2846.3,5857.8,2127.5,35.4,1685.7,2380.4,2716.5,119.826,117.868,207.989,211.309,166.9,112.078,153191,146019,232210,4.7,137758,33.8,5.07,4.3,4.42,4.52,4.5,4.73,1490.813,13895.63,10039.3,137.7,414.1,-243.2,311.1,1073.5,463.3,483.1,1017.1,627.3,58250.89,72400.13,14149.27,11561590,0.99237
Q4 2007,11675.7,8349.1,1248.1,2404.2,4722.4,1807.5,-18.3,1464.1,1967.3,2043.4,14074.2,9936.6,1082.5,2904.5,5949.7,2109.5,-27.4,1737.7,2446.6,2764.4,120.542,119.015,210.555,212.615,170.6,112.168,153667,146291,232937,4.8,138031,33.8,4.5,3.39,3.57,3.62,3.79,4.26,1494.092,13264.82,9740.32,136.2,324.9,-268.5,320.3,1081.7,430.9,501.3,1025.3,582.9,57718.03,72092.5,14374.51,11632330,0.99518
Q1 2008,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,11703500,0.99854
